date,open,close,high,low,volume,money,turnover,turnover_free,factor
2026-09-01,23.0,26.0,30.01,22.66,779923.35,1978792.312,0.0,0.0,1.0
2026-09-02,22.88,20.02,23.1,19.88,635756.49,1344667.489,0.0,0.0,1.0
2026-09-03,19.07,18.88,20.47,18.62,468103.19,901860.727,0.0,0.0,1.0
2026-09-04,18.7,17.54,18.87,17.5,396559.43,724064.529,0.0,0.0,1.0
2026-09-07,17.21,17.07,17.47,16.89,277229.67,473606.158,0.0,0.0,1.0
2026-09-08,16.93,17.1,17.66,16.56,328847.94,563660.36,0.0,0.0,1.0
2026-09-09,16.93,17.25,17.53,16.44,319174.33,540202.713,0.0,0.0,1.0
2026-09-10,16.85,16.32,17.23,16.3,227595.85,379264.883,0.0,0.0,1.0
2026-09-11,15.92,15.26,15.99,15.13,217307.75,334783.128,0.0,0.0,1.0
2026-09-14,15.12,16.79,16.79,15.11,287227.69,464467.419,0.0,0.0,1.0
2026-09-15,17.2,16.76,17.59,16.63,362199.75,621138.861,0.0,0.0,1.0
2026-09-16,16.57,16.49,16.89,15.95,247767.93,406033.113,0.0,0.0,1.0
2026-09-17,16.49,16.16,16.49,15.8,152520.9,245425.713,0.0,0.0,1.0
